root@nfsclient:/home/vedams/iozone3_394/src/current# iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Iozone: Performance Test of File I/O
                Version $Revision: 3.429 $
                Compiled for 64 bit mode.
                Build: linux-AMD64

        Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
                     Al Slater, Scott Rhine, Mike Wisner, Ken Goss
                     Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
                     Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
                     Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
                     Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
                     Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
                     Vangel Bojaxhi, Ben England, Vikentsi Lapa.
addition
        Run began: Wed Feb 22 18:06:58 2017

        Auto Mode
        Include close in write timing
        Cross over of record size disabled.
        Excel chart generation enabled
        Using maximum file size of 2097152 kilobytes.
        Command line used: iozone -aczR -g 2097152 -U /nfs/general -f /nfs/general/testfile -b exceloutput.xls
        Output is in kBytes/sec
        Time Resolution = 0.000001 seconds.
        Processor cache size set to 1024 kBytes.
        Processor cache line size set to 32 bytes.
        File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                   
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
           65536      64    71075    79983   677725   643905   257577    79466   181514   3878303    409848    82075    76209   683271   667855
           65536     128    25689    63199   697488   718060   358149    62977   344095   3428140    515978    62534    62656   384237   546461
           65536     256    16434    52853   651567   589505   454732    53324   402074   3012433    597667    51417    51252   513423   527715
           65536     512    56202    57954   598185   633590   474087    57141   450766   2576904    561172    56390    57698   588622   649630
           65536    1024    25172    51830   547369   608488   482279    52049   478493   2109030    559839    50403    52001   633228   634411
           65536    2048    55129    56352   628696   632592   520912    56907   511061    861454    585378    56022    48046   545016   553475
           65536    4096    52140    51730   686982   687537   551333    52760   551886    586567   1571082    50943    51426   603334   609518
           65536    8192    56449    57177   773076   759925   609585    57186   616415    321061   1351842    57076    56181   630256   621654
           65536   16384    43713    51168   895876   719527   534119    51817   631617    197818   1128158    51075    50653   634098   533755
          131072       4    27552    53206   640096   650480    32891    53155    16761   3196964     88315    54389    51655   637429   537044
          131072       8    15412    53597   677430   696665    55985    54085    33117   4182248    152893    54219    54375   659657   685810
          131072      16    25867    51407   746241   634841    92352    51772    68404   3992451    238382    51370    52542   685824   668891
          131072      32    18823    55301   739217   699775   165703    54926   113309   4079796    197703    55849    56097   680430   650110
          131072      64    54656    53979   627700   651172   231413    55231   198537   4184254    437922    54058    53434   740933   715833
          131072     128    18833    51980   697053   661826   353189    53932   279137   3747922    480238    53161    53763   663863   732278
          131072     256    52296    53620   663181   655399   451196    52661   389179   3373111    579746    48603    53331   669414   674947
          131072     512    18635    55699   529123   525559   437608    54832   478471   3128593    598267    56792    57194   644316   660881
          131072    1024    56653    57258   677038   670849   528045    55989   522953   2735119    633608    57839    55642   585574   624485
          131072    2048    18189    54454   623941   621624   492648    54130   504926   1835641    572999    54347    54990   533526   560532
          131072    4096    18574    55548   667311   624833   586021    55953   293993   1178504    610466    53569    54483   581251   616087
          131072    8192    18705    50824   710832   693806   596954    48534   591640    645973   1735889    50965    51240   587437   649807
          131072   16384    18334    52709   695017   694586   615925    51016   595035    415410   1590388    52088    52362   602389   664399
          262144       4    27526    53314   504912   591819    31122    43385    17262   3442689     87219    54496    51183   697369   661498
          262144       8    27106    51378   726227   688551    54495    47848    34419   4228747    149169    52671    47691   705733   644164
          262144      16    18291    53434   687958   658755    95398    45442    67213   4072388    256634    55854    53384   742028   678463
          262144      32    18121    53520   683267   611651   162210    52946   119060   4137440    308578    54380    54776   648215   683677
          262144      64    19364    54078   741122   700363   202326    49738   119466   4328942    358070    51664    54501   697499   723161
          262144     128    19079    53094   648819   692639   326826    54313   311751   3960479    488562    53050    52744   677233   640353
          262144     256    17909    50269   661181   695224   423358    48385   373010   3532422    553781    49994    51697   684656   638992
          262144     512    25609    50812   657440   674625   488355    50910   479610   3441557    595837    50663    52517   668061   621508
          262144    1024    17273    55834   660833   590020   544809    54824   524662   3093287    610385    55344    55464   609193   589212
          262144    2048    17228    52533   608802   624580   535292    52529   508696   2112074    573859    53215    51760   645945   605303
          262144    4096    25948    50011   641968   586891   578257    51380   503750   1174453    600717    51465    50479   576716   626326
          262144    8192    28308    52835   604082   650644   588612    54008   596531    947739    650384    53241    51594   664288   599760
          262144   16384    27510    50694   675315   648893   628938    51945   579551    611380   1500974    50212    52829   627855   623060
          524288       4    17853    54424   653804   691012    28511    22951    16371   3511830     85037    52592    51934   704082   664351
          524288       8    20751    51979   699892   691007    54406    25215    33339   4368230    145438    50296    49037   699476   675385
          524288      16    17186    55944   693108   683645    94092    24827    60353   4101929    243635    54652    51896   696871   662760
          524288      32    17896    51150   651885   678071   160956    28638   111061   4262682    335500    47984    52096   658511   651263
          524288      64    18334    52847   687874   679211   209161    35360   131364   4317619    292949    52229    50540   685008   699021
          524288     128    17548    55728   657425   658229   314254    44902   297595   4101707    500553    57754    57268   664980   661951
          524288     256    21113    52831   578601   638279   428668    47253   379050   3642456    526948    55812    52912   648064   635281
          524288     512    17311    52273   662426   637331   470720    46388   487641   3560411    565400    52986    46890   668357   653738
          524288    1024    21966    52934   635989   592460   485913    47060   388119   3445314    628458    50792    52951   626598   635855
          524288    2048    18379    56067   624199   623251   547261    50359   501251   2352903    579371    55161    56368   595312   608435
          524288    4096    16783    52353   647453   616859   590362    50341   548682   1402612    584256    51981    51266   632369   627796
          524288    8192    17733    56784   651674   619646   570661    54444   610732   1423851    583024    55715    57721   586832   590676
          524288   16384    18613    54174   625075   598764   433228    53152   560993    928806    611581    52419    52300   644945   602571
         1048576       4    16356    54874   675891   694250    28804    11087    17121   3486606     81914    53313    54618   722624   667230
         1048576       8    17429    55517   730673   715893    55777    13347    32710   4344067    139708    56191    57137   696816   675210
         1048576      16    16307    56293   676990   673739    97849    14412    62416   4232705    226331    55148    56387   680996   653381
         1048576      32    16201    57418   661968   675234   150498    19396   104898   4345261    288920    54747    55876   673970   686939
         1048576      64    16642    54003   674554   633610   179879    29130   139282   4497390    377684    51193    55938   600075   584657
         1048576     128    17030    54579   685573   656328   327721    43244   243008   4064847    485140    53243    54774   687437   660529
         1048576     256    17036    54182   656505   643827   426120    50861   371870   3725343    492700    57509    57684   690678   668192
         1048576     512    17642    54288   599228   640090   493643    51329   469487   3695511    529055    55432    52754   659875   579782
         1048576    1024    17444    54430   637339   622437   466521    44089   475492   3380941    554169    49764    54549   560911   608593
         1048576    2048    17660    55329   491272   592064   522332    50437   542794   2415777    574673    56212    54625   646725   580985
         1048576    4096    17971    53865   606047   640246   561188    52443   578560   1763651    599599    55336    55510   631833   607748
         1048576    8192    16976    56047   647389   623376   565682    53708   599807   1441416    598003    56143    53413   639241   617169
         1048576   16384    17714    54048   647728   483693   565378    56392   647610   1316633    603857    55442    56024   568362   556582
         2097152       4    16755    51854    82444    82905     4370     6051     9065   3482675     31654    46629    48350    79868    82729
         2097152       8    16682    52056    82344    81729     9592     7435    21489   4413124     41747    46207    47889    88853    83199
         2097152      16    18147    54586    83651    83485    16498     9536    31338   4147281     58088    52730    53233   103298    97835
         2097152      32    17785    55409    83693    82623    29722    15709    50667   4340545     77947    52300    53135   135196    89047
         2097152      64    17180    54467    83865    85026    48785    26433    56365   4418034     37651    55966    55369   127184   106743
         2097152     128    17911    53965    81754    81436    74799    40715   109648   4076056     70754    52611    51726   120968   140146
         2097152     256    17808    51235    81341    81402   107514    48638   140730   3731886    131556    48852    47922    81709    81818
         2097152     512    16594    54002    81696    81633   151265    49297   175743   3758458    157119    51177    53003   209644    98521
         2097152    1024    16959    54577    81694    83592   195538    40981   230817   3693573    200804    49365    52908    83170    83677
         2097152    2048    17969    53907    82228    81980   205416    47348   247447   2419175    197213    50410    52350    81632   131487
         2097152    4096    17608    51338    80374    81560   233270    48799   274386   1754736    231649    47029    50745    81386   130732
         2097152    8192    17108    54405    80925    83364   264838    53719   291112   1645703    223388    53828    53345   211889   105444
         2097152   16384    17328    51889    83381    83220   289354    51308   300019   1532509    303604    53661    53911   203929   109194

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   23061  3496  7690  27526  26209
"128"   38348  36248  40239  38461  37436  36457
"256"   38624  48410  51580  50098  48439  47771  47170
"512"   61561  62166  51942  59763  58221  63185  61272  62814
"1024"   68017  68682  73305  72501  72716  73027  70208  71758  70213
"2048"   40253  38934  37476  40072  40563  40243  39327  36367  39605  38703
"4096"   39689  37716  39223  39613  40894  39396  37954  38203  41178  35106  32979
"8192"   51068  49363  52005  45475  51269  48462  53750  51211  44717  52198  51647  51309
"16384"   75752  76451  73669  75793  75943  74742  78657  41213  73172  73585  74758  73209  71796
"32768"   76878  80809  80512  79113  78404  70068  79175  79231  78079  77987  78189  69235  77742
"65536"   70914  77182  77933  78574  71075  25689  16434  56202  25172  55129  52140  56449  43713
"131072"   27552  15412  25867  18823  54656  18833  52296  18635  56653  18189  18574  18705  18334
"262144"   27526  27106  18291  18121  19364  19079  17909  25609  17273  17228  25948  28308  27510
"524288"   17853  20751  17186  17896  18334  17548  21113  17311  21966  18379  16783  17733  18613
